OBJECTID,pointid,grid_code
1,1,1.5435318
2,2,2.0890877
3,3,2.5980229
4,4,2.9584901
5,5,3.0027702
6,6,2.9702244
7,7,2.0909576
8,8,2.0252681
9,9,1.8962547
10,10,1.8559642
11,11,2.0471413
12,12,2.4103782
13,13,2.7909424
14,14,3.0715959
15,15,3.2753456
16,16,3.3708520
17,17,3.6824119
18,18,4.0844593
19,19,4.6149826
20,20,5.0241990
21,21,5.3514247
22,22,2.2752993
23,23,2.2825761
24,24,2.2665956
25,25,2.3031764
26,26,2.4428742
27,27,2.6972234
28,28,3.0163934
29,29,3.3220921
30,30,3.6273401
31,31,3.8064463
32,32,4.1168051
33,33,4.4431176
34,34,4.7975411
35,35,5.1617150
36,36,5.4928484
37,37,5.6896577
38,38,5.9512057
39,39,6.1786151
40,40,6.4192624
41,41,6.6878819
42,42,6.9313693
43,43,2.4405179
44,44,2.4409761
45,45,2.4330816
46,46,2.4486835
47,47,2.4807341
48,48,2.6020658
49,49,2.8552599
50,50,3.2128320
51,51,3.6095123
52,52,4.0201941
53,53,4.2325983
54,54,4.4314628
55,55,4.6569695
56,56,4.9784317
57,57,5.3884945
58,58,5.8035169
59,59,6.0233140
60,60,6.1745324
61,61,6.2947359
62,62,6.4815612
63,63,6.7552075
64,64,7.0419755
65,65,7.1597686
66,66,2.5500984
67,67,2.5154018
68,68,2.4420493
69,69,2.4090397
70,70,2.5462801
71,71,2.8844008
72,72,3.3471639
73,73,3.8732939
74,74,4.3633227
75,75,4.6344051
76,76,4.6559644
77,77,4.7713971
78,78,5.1093044
79,79,5.6295075
80,80,6.1758137
81,81,6.4710636
82,82,6.4247408
83,83,6.3808136
84,84,6.5382023
85,85,6.8911972
86,86,7.3176203
87,87,7.5535836
88,88,7.3774676
89,89,2.3000000
90,90,2.4649227
91,91,2.8943598
92,92,3.4227927
93,93,4.0075746
94,94,4.5771799
95,95,4.8000002
96,96,4.7164578
97,97,4.8031235
98,98,5.1516428
99,99,5.7348208
100,100,6.4077325
101,101,6.6999998
102,102,6.5200958
103,103,6.3934770
104,104,6.5305443
105,105,6.9419751
106,106,7.5141873
107,107,7.8000002
108,108,7.5345874
109,109,2.4605453
110,110,2.6271267
111,111,2.9909005
112,112,3.5038004
113,113,4.0023198
114,114,4.4325705
115,115,4.6488433
116,116,4.6368704
117,117,4.7178373
118,118,5.0853868
119,119,5.6388888
120,120,6.1700869
121,121,6.4396186
122,122,6.3498950
123,123,6.2279735
124,124,6.4093313
125,125,6.8152995
126,126,7.2591958
127,127,7.5024419
128,128,7.2851868
129,129,6.8814831
130,130,6.5195651
131,131,6.2763166
132,132,2.7753336
133,133,2.9356711
134,134,3.2387090
135,135,3.5387714
136,136,3.8469462
137,137,4.1533709
138,138,4.3368635
139,139,4.4584813
140,140,4.6787119
141,141,4.9158597
142,142,5.2473831
143,143,5.6716828
144,144,5.9141541
145,145,5.9588437
146,146,6.0311852
147,147,6.1647673
148,148,6.4130740
149,149,6.7613344
150,150,6.8952308
151,151,6.8010387
152,152,6.5930023
153,153,6.3619399
154,154,3.7376375
155,155,3.8768799
156,156,4.0523100
157,157,4.1467781
158,158,4.4855447
159,159,4.6892858
160,160,4.8995295
161,161,5.0732822
162,162,5.3462014
163,163,5.4511595
164,164,5.6805758
165,165,5.8607144
166,166,6.0484724
167,167,6.1954293
168,168,6.3460984
169,169,6.3259187
170,170,6.2866449
171,171,6.1678572
172,172,3.6616585
173,173,3.7298121
174,174,3.7836862
175,175,3.9703815
176,176,4.2492132
177,177,4.4630442
178,178,4.6021514
179,179,4.7077165
180,180,4.7967110
181,181,4.9965839
182,182,5.3043952
183,183,5.5731654
184,184,5.7659087
185,185,5.8690791
186,186,5.9563370
187,187,6.0042262
188,188,6.0354724
189,189,5.9799023
190,190,5.8690205
191,191,3.6702943
192,192,3.5864589
193,193,3.5427332
194,194,3.7173538
195,195,4.0157657
196,196,4.3275771
197,197,4.4494944
198,198,4.3676605
199,199,4.3022785
200,200,4.5361414
201,201,4.9180079
202,202,5.2863593
203,203,5.6047978
204,204,5.7050200
205,205,5.7309489
206,206,5.7976594
207,207,5.8104262
208,208,5.7717624
209,209,5.6934352
210,210,5.5214849
211,211,3.5385616
212,212,3.4000001
213,213,3.5783975
214,214,3.9575067
215,215,4.2378850
216,216,4.3291736
217,217,4.2601290
218,218,4.0999999
219,219,4.3259816
220,220,4.7603011
221,221,5.1746922
222,222,5.4764566
223,223,5.6888251
224,224,5.6999998
225,225,5.7322574
226,226,5.7204032
227,227,5.6812630
228,228,5.5690265
229,229,5.4220390
230,230,3.5734103
231,231,3.7636805
232,232,4.0257177
233,233,4.3718295
234,234,4.4303131
235,235,4.3425193
236,236,4.2721696
237,237,4.4851217
238,238,4.8196759
239,239,5.1704268
240,240,5.4620562
241,241,5.6200342
242,242,5.6845589
243,243,5.7267661
244,244,5.7352219
245,245,5.7103209
246,246,5.5894890
247,247,4.0719247
248,248,4.3209457
249,249,4.4672408
250,250,4.5236063
251,251,4.5834317
252,252,4.6539536
253,253,4.7389526
254,254,4.9947710
255,255,5.2526226
256,256,5.4561310
257,257,5.6109819
258,258,5.7249036
259,259,5.7246313
260,260,5.7432027
261,261,5.7382841
262,262,4.3586936
263,263,4.4998803
264,264,4.5821428
265,265,4.6234694
266,266,4.6348872
267,267,4.8368583
268,268,4.9414482
269,269,5.0699606
270,270,5.2750001
271,271,5.4452844
272,272,5.5541859
273,273,5.7239218
274,274,5.7513728
275,275,5.7462549
276,276,4.5760527
277,277,4.6215200
278,278,4.6780734
279,279,4.6844292
280,280,4.7412372
281,281,4.7865996
282,282,4.9137335
283,283,5.0634532
284,284,4.6941037
285,285,4.7555866
286,286,4.7736526
287,287,4.5998449
288,288,4.4985285
289,289,4.7052832
290,290,4.8281984
291,291,4.9449177
292,292,4.8291674
293,293,4.5305004
294,294,4.3000002
295,295,4.5694933
296,296,4.8295412
